"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","UserLanguage","cond_guilt","cond_disr","manip_disr","manip_guilt","cyn1","cyn2","cyn3","cyn4","cyn5","cyn6","cyn7","cyn8","cyn9","att_check","aware_1","aware_2","aware_3","aware_4","gender","age","educ","politics","random","cyn_total","aware_total"
"1","2020-11-10 13:43:05","2020-11-10 13:44:46","IP Address","100","100","True","2020-11-10 13:44:46","EN","good",NA,5,6,6,5,5,6,5,5,5,6,6,"4",5,5,6,6,"Male",25,"4-year college degree","Slightly liberal","12398",5.44444444444444,5.5
"2","2020-11-10 13:42:49","2020-11-10 13:45:00","IP Address","100","130","True","2020-11-10 13:45:00","EN",NA,"I felt disrespected in a meeting recently where BP accepted everyone elses opinons, but not mine. Even though my opinion was very similar to others, mine was viewed less openly than theirs.  I took that personally and I did very much so feel disrespected.  It made me feel less than and not as valuable. ",6,2,4,5,5,4,3,5,5,5,5,"4",4,5,5,5,"Female",33,"4-year college degree","Very conservative","24940",4.55555555555556,4.75
"3","2020-11-10 13:44:15","2020-11-10 13:45:08","IP Address","100","52","True","2020-11-10 13:45:08","EN","NICE",NA,3,6,2,2,3,2,2,3,2,3,3,"4",1,1,1,1,"Male",34,"4-year college degree","Very liberal","39584",2.44444444444444,1
"4","2020-11-10 13:42:22","2020-11-10 13:45:35","IP Address","100","193","True","2020-11-10 13:45:35","EN",NA,"I was disrespected by a coworker recently. They did not like my views on women's rights. They said women shouldn't make as much as men. It really hurt me. I felt like they disrespected me and my opinions and my status as a woman.",7,3,7,7,7,6,5,3,5,7,6,"4",1,6,2,6,"Female",37,"4-year college degree","Very liberal","68464",5.88888888888889,3.75
"5","2020-11-10 13:43:28","2020-11-10 13:45:37","IP Address","100","128","True","2020-11-10 13:45:37","EN",NA,"Nothing",4,5,4,5,5,4,5,4,4,5,4,"4",4,5,4,4,"Male",30,"4-year college degree","Somewhat liberal","29583",4.44444444444444,4.25
"6","2020-11-10 13:44:18","2020-11-10 13:45:37","IP Address","100","79","True","2020-11-10 13:45:37","EN",NA," Remember, each person is unique, and this is not intended as a script. ... The intent of this document is to provide suggested communication strategies for ... If you are not available now, let's schedule some time to talk about your ... [If person indicates that they 'live on the street' or are homeless] If you don't ...",5,7,4,6,7,6,5,4,5,6,7,"4",7,5,3,4,"Female",54,"4-year college degree","Slightly liberal","96875",5.55555555555556,4.75
"7","2020-11-10 13:43:14","2020-11-10 13:45:43","IP Address","100","148","True","2020-11-10 13:45:43","EN","In this incident happens some days before.",NA,6,5,6,4,5,5,6,4,5,7,6,"4",4,6,5,5,"Male",25,"4-year college degree","Somewhat liberal","92447",5.33333333333333,5
"8","2020-11-10 13:43:46","2020-11-10 13:45:47","IP Address","100","120","True","2020-11-10 13:45:47","EN","a",NA,6,7,6,7,6,7,6,7,6,7,6,"4",6,7,6,7,"Female",25,"4-year college degree","Very conservative","96517",6.44444444444444,6.5
"9","2020-11-10 13:43:13","2020-11-10 13:46:03","IP Address","100","169","True","2020-11-10 13:46:03","EN",NA,"DISTRESPECTED IN MY SCHOOL",4,5,5,4,5,5,5,5,4,4,4,"4",5,5,5,4,"Female",38,"4-year college degree","Very conservative","88775",4.55555555555556,4.75
"10","2020-11-10 13:43:46","2020-11-10 13:46:08","IP Address","100","142","True","2020-11-10 13:46:09","EN",NA,"Let them know you're committed to always treat them with the greatest dignity and respect. So instead of accusing them of being disrespectful, let them know how much you care",4,5,5,4,5,6,5,4,5,6,4,"4",5,3,5,4,"Male",30,"4-year college degree","Slightly liberal","93686",4.88888888888889,4.25
"11","2020-11-10 13:44:38","2020-11-10 13:46:19","IP Address","100","101","True","2020-11-10 13:46:19","EN",NA,"I was with my family and hanging out with them one weekend. We all went out and my step mom said ""oh you decided to wear that out to dinner?"" I just didn't like her tone and knew she was trying to be rude to me.",7,1,1,1,3,1,3,1,7,4,1,"4",1,7,1,7,"Female",30,"High school graduate","Very liberal","62792",2.44444444444444,4
"12","2020-11-10 13:43:17","2020-11-10 13:46:27","IP Address","100","189","True","2020-11-10 13:46:27","EN",NA," in home. that's my friend",6,5,6,4,5,6,5,4,5,6,5,"4",6,5,4,5,"Male",32,"4-year college degree","Somewhat liberal","52686",5.11111111111111,5
"13","2020-11-10 13:45:13","2020-11-10 13:46:44","IP Address","100","90","True","2020-11-10 13:46:44","EN",NA,"good",5,6,5,6,6,5,6,5,5,6,5,"4",5,6,6,5,"Female",25,"4-year college degree","Very conservative","57990",5.44444444444444,5.5
"14","2020-11-10 13:42:36","2020-11-10 13:46:50","IP Address","100","253","True","2020-11-10 13:46:50","EN","Once i was angry with my closs friend for a silly reason.later i feel realize my wrong.in that time i feel guilty.",NA,7,6,6,5,7,6,5,7,6,6,6,"4",6,4,5,6,"Female",33,"4-year college degree","Very conservative","82080",6,5.25
